dzielnica,typ_szkoly,nazwa_szkoly,nazwa_oddzialu,rozszerzenia,jezyki,prog_min,ranking25,srednia22do24
Mokotów,LO,CX LO im. R. Schumana,1A2 [O] geogr-ang-niem (ang-niem),ang-geogr-niem,ang-niem,109.90,,
Mokotów,LO,CX LO im. R. Schumana,1B2 [O] geogr-ang-wos (ang-wlo),ang-geogr-wos,ang-wlo,111.45,,
Mokotów,LO,CX LO im. R. Schumana,1C1 [O] hist-pol-wos (ang-niem),hist-pol-wos,ang-niem,109.20,,
Mokotów,LO,CX LO im. R. Schumana,1C2 [O] hist-pol-wos (ang-wlo),hist-pol-wos,ang-wlo,102.85,,
Mokotów,LO,CX LO im. R. Schumana,1B1 [O] geogr-ang-wos (ang-hisz),ang-geogr-wos,ang-hisz,118.80,,
Mokotów,LO,LXV LO z Oddziałami Integracyjnymi im. gen. J. Bema,1A [I-o] ang-mat (ang-niem),ang-mat,ang-niem,132.00,95,87.0
Mokotów,LO,LXV LO z Oddziałami Integracyjnymi im. gen. J. Bema,1CF [O] h.szt.-pol (ang-fra),h.szt.-pol,ang-fra,106.00,95,87.0
Mokotów,LO,LXV LO z Oddziałami Integracyjnymi im. gen. J. Bema,1B [I-o] biol-chem (ang-ros),biol-chem,ang-ros,111.80,95,87.0
Mokotów,LO,LXV LO z Oddziałami Integracyjnymi im. gen. J. Bema,1DN [O] hist-pol-wos (ang-niem),hist-pol-wos,ang-niem,118.35,95,87.0
Mokotów,LO,LXV LO z Oddziałami Integracyjnymi im. gen. J. Bema,1DR [O] hist-pol-wos (ang-ros),hist-pol-wos,ang-ros,109.60,95,87.0
Mokotów,LO,LXV LO z Oddziałami Integracyjnymi im. gen. J. Bema,1CW [O] h.szt.-pol (ang-wlo),h.szt.-pol,ang-wlo,114.40,95,87.0
Mokotów,LO,LXV LO z Oddziałami Integracyjnymi im. gen. J. Bema,"1E [I-o] geogr-mat (ang-hisz,wlo)",geogr-mat,ang-hisz-wlo,120.00,95,87.0
Mokotów,LO,LXVIII LO im. T. Chałubińskiego,1T [O] biol-chem-ang (ang-niem*),ang-biol-chem,ang-niem,80.75,,
Mokotów,LO,LXVIII LO im. T. Chałubińskiego,1U1 [O] geogr-ang-wos (ang-niem*),ang-geogr-wos,ang-niem,98.85,,
Mokotów,LO,LXVIII LO im. T. Chałubińskiego,1u2 [O] hist-ang-wos (ang-hisz),ang-hist-wos,ang-hisz,110.75,,
Mokotów,LO,LXVIII LO im. T. Chałubińskiego,"1w [O] geogr-ang-pol (ang-niem*,hisz)",ang-geogr-pol,ang-hisz-niem,99.20,,
Mokotów,LO,LXXX LO im. L. Staffa,1lb [O] inf-ang-mat (ang-niem*),ang-inf-mat,ang-niem,138.30,61,57.33
Mokotów,LO,LXXX LO im. L. Staffa,1la [O] inf-ang-mat (ang-hisz*),ang-inf-mat,ang-hisz,147.05,61,57.33
Mokotów,T,Technikum Ekonomiczne nr 8,1Ah [O] Technik rachunkowości (ang-hisz),Technik rachunkowości,ang-hisz,49.70,,
Mokotów,T,Technikum Ekonomiczne nr 8,1C [O] Technik reklamy (ang-niem),Technik reklamy,ang-niem,87.40,,
Mokotów,T,Technikum Ekonomiczne nr 8,1Bh [O] Technik ekonomista (ang-hisz),Technik ekonomista,ang-hisz,89.65,,
Mokotów,T,Technikum Ekonomiczne nr 8,1Bn [O] Technik ekonomista (ang-niem),Technik ekonomista,ang-niem,66.50,,
Mokotów,T,Technikum Ekonomiczne nr 8,1An [O] Technik rachunkowości (ang-niem),Technik rachunkowości,ang-niem,41.85,,
Mokotów,T,Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21,1AH [O] Technik hotelarstwa (ang-niem),Technik hotelarstwa,ang-niem,79.50,,
Mokotów,T,Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21,1DT [O] Technik organizacji turystyki (ang-hisz),Technik organizacji turystyki,ang-hisz,100.20,,
Mokotów,T,Technikum Hotelarsko-Turystyczno-Gastronomiczne nr 21,1GO [O] Technik żywienia i usług gastronomicznych (ang-fra),Technik żywienia i usług gastronomicznych,ang-fra,65.10,,
Mokotów,T,Technikum Mechatroniczne nr 1,1ta [D] Technik informatyk (ang-hisz*),Technik informatyk,ang-hisz,171.38,,
Mokotów,T,Technikum Mechatroniczne nr 1,1tm/hiszp [O] Technik mechatronik (ang-hisz*),Technik mechatronik,ang-hisz,166.80,,
Mokotów,T,Technikum Mechatroniczne nr 1,1tc/niem [O] Technik programista (ang-niem*),Technik programista,ang-niem,168.70,,
Mokotów,T,Technikum Mechatroniczne nr 1,1tb/hiszp [O] Technik informatyk (ang-hisz*),Technik informatyk,ang-hisz,161.55,,
Mokotów,T,Technikum Mechatroniczne nr 1,1tc/hiszp [O] Technik programista (ang-hisz*),Technik programista,ang-hisz,167.10,,
Mokotów,T,Technikum Mechatroniczne nr 1,1ta/niem [D] Technik informatyk (ang-niem*),Technik informatyk,ang-niem,145.13,,
Mokotów,T,Technikum Mechatroniczne nr 1,1tb/niem [O] Technik informatyk (ang-niem*),Technik informatyk,ang-niem,161.45,,
Mokotów,T,Technikum Mechatroniczne nr 1,1tm/niem [O] Technik mechatronik (ang-niem*),Technik mechatronik,ang-niem,170.45,,
Mokotów,T,Technikum Odzieżowe i Fryzjerskie im. M. Bratkowskiej,1TFC [O] Technik usług fryzjerskich (ang*-hisz*),Technik usług fryzjerskich,ang-hisz,63.30,,
